filter,noise_std_dev,MSE_sine_white,MSE_sine_brown,MSE_sine_quant,MSE_polynome_white,MSE_polynome_brown,MSE_polynome_quant
wiener,0.1,0.00259,0.00955,0.00089,0.00992,0.01001,0.00083
wiener,0.2,0.00506,0.03533,0.00469,0.02381,0.04011,0.00323
wiener,0.3,0.010708,0.07158,0.02592,0.03273,0.09024,0.00744
wiener,0.4,0.01886,0.11248,0.1002,0.04792,0.16015,0.01319
wiener,0.5,0.02903,0.1536,0.0968,0.0628,0.24939,0.02624
kalman,0.1,0.00177,0.00985,0.0002,0.0026,0.00985,0.00037
kalman,0.2,0.00607,0.03942,0.00096,0.00803,0.03942,0.00134
kalman,0.3,0.01279,0.09757,0.00358,0.01606,0.09326,0.0026
kalman,0.4,0.02213,0.15768,0.01254,0.02632,0.16802,0.0054
kalman,0.5,0.03412,0.24637,0.00906,0.03863,0.26502,0.01708
-,-,-,-,-,-,-,-
filter,noise_std_dev,MSE_sine_dot_white,MSE_sine_dot_brown,MSE_sine_dot_quant,MSE_polynome_dot_white,MSE_polynome_dot_brown,MSE_polynome_dot_quant
wiener,0.1,617.3,70.35,307.96,5012.71,72.92,459.36
wiener,0.2,578.28,252.94,612.14,13171.76,290.06,1410.97
wiener,0.3,1077.96,484.85,667.55,8358.3,647.19,2343.62
wiener,0.4,1817.44,707.08,484.05,14731.08,1137.22,3249.48
wiener,0.5,2769.71,885.36,594.49,15098.35,1750.47,4311.56
kalman,0.1,6.34,7.04,2.66,32.9,29.6,20.13
kalman,0.2,11.5,22.54,5.18,47.43,56.79,34.26
kalman,0.3,16.97,41.52,11.5,59.88,88.67,39.41
kalman,0.4,22.61,61.11,18.65,71.31,104.6,52.39
kalman,0.5,28.29,81.9,15.97,79.52,117.93,75.76
